tx_hash_prefix,tx_hash,fee,energy_usage,energy_fee,origin_energy_usage,energy_usage_total,net_usage,net_fee,result,energy_penalty_total,partition
44d25,ef44d25cf1be118c9d938978a24d53813118adb38230b1ef4132d71437c1258b,1100000,0,0,0,0,0,100000,0,100000,500
e28bd,15e28bde1b25307245b9834247c496896b38ec526173dfcd8e22d2c0121a77e8,0,0,0,0,0,265,0,0,0,500
6589d,0d6589d9ea546086c5fed388653157fca7d16dd40816383b19ae4044a09a548a,0,0,0,0,0,265,0,0,0,500
d1762,bdd1762a5fb5321d527df1caa18d0bfed7c2343b8a3d9be4699252c1af9eced0,0,0,0,0,0,265,0,0,0,500
fefd0,e4fefd05f45ca4ff46e4f322b51a0a7bb68b3119b289ef9c4cb3422bfd0c75dc,0,0,0,0,0,265,0,0,0,500
c685a,74c685a5128789edce27e73ade69b0ef658b9e80a5d8f6135b601b208dadd121,0,0,0,0,0,265,0,0,0,500
1d0dc,bd1d0dc5466a13749ae690a2cd57d59035854666e646cef2592a720785b50146,0,0,0,0,0,265,0,0,0,500
dfcf2,8adfcf268cdb558942c69d11093cb706616062320e3c22eafc11934784a77df7,0,0,0,0,0,265,0,0,0,500
1beed,3a1beedd298f1f29279b474dd76325547ad2d03161af11b285bec7eeff2eea78,0,0,0,0,0,275,0,0,0,500
1162b,2c1162bbe75ab29bbedacc959f6de80918bfdba699a72b18a9f77e0e4dd281b0,13395900,0,13395900,0,31895,345,0,1,0,500
2d5bc,a22d5bca766ea563de7d93b21ae3079df68d22507aca6a5876369f9f246ffd03,0,64895,0,0,64895,345,0,1,0,500
77267,e977267294a7e3ea0c4afe3d2047a12f8b49827fe92cf09dccff1d874329e8cc,1000000,0,0,0,0,274,0,0,0,500
a122c,37a122cc45b529b94c2fa44f10a35e1369d2129c446a7a9e0a38f81371801a0f,1000000,0,0,0,0,268,0,0,0,500
64749,2764749bd7d432492ad73fc0ba9e0f8ac5d308cc56ed3c837193a9cf5795be37,0,0,0,0,0,265,0,0,0,500
bef73,18bef73e50c3b9fbccc2d49f2bee6b2e8ad519e361dc2c30d0fd574f1ae0a3f1,0,0,0,0,0,265,0,0,0,500
10880,d9108800ed77bd7783265dbeae7f212907d934a264ab6a5842db4891a67ec297,0,0,0,0,0,265,0,0,0,500
d8058,38d8058b257a546dcd1145ab1eea87a56550a69129bf72b11d1bcabe69c864b3,0,0,0,0,0,265,0,0,0,500
3d2a9,da3d2a96225d3fca069e50f79e360972fa77b533b6e933354fa0983132385e68,0,0,0,0,0,265,0,0,0,500
95aad,3195aad785b4fa891e8d81bf4dd454bb372cafab5029cda69f4b4995fbf1f28f,0,0,0,0,0,265,0,0,0,500
335fa,b0335fa60c098d972d4ea691ca2b06bd9e865d3be5ef55639dbc45318e01f824,0,0,0,0,0,265,0,0,0,500
8f383,d88f3835c915c537b27c755cb6e1597351f7236e764d140c5c554cb6ec6baaab,0,0,0,0,0,265,0,0,0,500
53397,d953397daa5ed0048c054a321089c9792a6db90a5325337f53129d1d1bc6a939,0,0,0,0,0,265,0,0,0,500
8bb82,be8bb820ee76d2b7d8021f35d6c68fc145b00e013d25c5e74a3726e60aa66dd6,0,0,0,0,0,265,0,0,0,500
d0a02,35d0a02e07b394063ce7a02510cbf8d72ad277a9ee7ea193d41874415bb2e000,0,0,0,0,0,265,0,0,0,500
5b789,155b789b2a5ed69c74f70b6ea319061a54980b5658fe8977e5cb1428391b2ee0,0,31895,0,0,31895,345,0,1,0,500
386ba,5b386ba52863e41a9d430ee82ebd89d505b1328be4991509764e446cd37531a0,0,64895,0,0,64895,345,0,1,0,500
30a02,3730a02e8241074027c1665358b07fd8386fba159b136d9c44daa098f53dcf4c,0,0,0,0,0,283,0,0,0,500
ff966,84ff966f6e4a5faf1a2499e3c960034c56d3db519873dce211973f26d947d168,0,0,0,0,0,274,0,0,0,500
a26de,42a26de8bf066e142cd6ccdffb5bc4f7e5ae790ce3e0079a8ae55d2a847dfdef,0,0,0,0,0,265,0,0,0,500
53b88,7653b88106cc8fd8e01ad8dfd55072343b3a81c26a08adf8b186a74adde145f7,0,0,0,0,0,265,0,0,0,500
34b33,7734b33f6ff0cfb2aa6b8fb3800dd3fb546da106c5789ddec4d3c70df34ae37d,0,0,0,0,0,265,0,0,0,500
44b65,8444b65734388b99fe081e9e53eecb9c4c2cef9a7f819279610f8391c7fb5a0b,0,0,0,0,0,265,0,0,0,500
e5319,0be53198b17f18efa6ac5815a6a09f92d1f54e1bdee3d806d14d7c098e4b7054,0,0,0,0,0,265,0,0,0,500
8ac8f,6b8ac8f7c426174f28fca0cad94091ab79701d2bf852c42bcf0a18300bbcfd0c,0,0,0,0,0,265,0,0,0,500
d4273,aed42731eee0cf2642f37a28576f3316aab060c312c0aae0f1f03772b92d1244,0,0,0,0,0,265,0,0,0,500
980ac,9d980ace62a42f0366062f7ad86d8886cf8e63010acdb844549388c25d9e237e,345000,31895,0,0,31895,0,345000,1,345000,500
9e1f8,dc9e1f869451899c78e66b9f2794b44a6d6fb6ddcd4975ed5a039ec980a7566d,0,64895,0,0,64895,345,0,1,0,500
9fd4a,6b9fd4a44dcfa0e7365977b92cc5306e29e6b7382455ebcae8a0db3a244029d2,0,0,0,0,0,265,0,0,0,500
23603,b323603bfbe82e6fc9a7a9debc1680e2be165a53f15b68120e14e7261b87c062,0,0,0,0,0,265,0,0,0,500
78bd2,7c78bd2089a5e9d0fd4842672c5d5026934de547c26f82ab2ebfa0663e6c61f9,0,0,0,0,0,265,0,0,0,500
881b3,e1881b3a8fbd28885be0e0e18864ddeff25ba3b7ff59a88bfa05fb674567ceff,0,0,0,0,0,268,0,0,0,500
304b9,de304b9ec585eb1f0056b27683639246441f0beb1f2f152a234717bf12573c7f,13395900,0,13395900,0,31895,345,0,1,0,500
4f864,254f8644d99a6f08953dbb99352aede8e1f0442c4069b3de214531ef35437d56,0,31895,0,0,31895,345,0,1,0,500
d9229,c2d9229e19315b9d2055b4d3b00466711e966168621e8cb7b29dfd310993f233,378000,0,0,2264,2264,0,378000,1,378000,500
7109f,4d7109f86b87f88a36babf896711a63d0634f04e328c2b27a32943ac2c003a55,13558200,435,13213200,0,31895,0,345000,1,345000,500
e23cf,e3e23cf8f44bcbf4e10e6df7acf9ec8a726179f976ea5312089e8e0ffca69935,0,0,0,0,0,265,0,0,0,500
6670d,286670d044886f6583443a6d9c568720cd2d15f8fb4ecd8496e40329f085822e,0,0,0,0,0,265,0,0,0,500
0f79b,3c0f79be0b419927a62dd3640b79feb8d26a22bd03e3282f32f9daa7faf49d6e,0,0,0,0,0,265,0,0,0,500
0ec9d,6c0ec9d12aec750aa30cb84d54a3ebc83114a271fe2d930f1fb8112630eb13cd,0,0,0,0,0,265,0,0,0,500
94410,03944109ce30d652ca260e00cf5e5d2f533babe9373ca449f4497679fc2de025,13395900,0,13395900,0,31895,345,0,1,0,500
c69a1,efc69a11fdc5d768dfeb8a8561ebf87e64007ae53fd7040506a5356d3346a0c2,0,0,0,0,0,265,0,0,0,500
743cf,e9743cfd9b2f0d65a942ef595538b654e549595a71ba9410370914b400c0e1ca,0,0,0,0,0,265,0,0,0,500
f44d9,f0f44d997e5b008b6bb8b269510a1d2626a27b9d46d1df3732f99e4ac206272f,0,0,0,0,0,283,0,0,0,500
e20d4,26e20d40882770488e70753411968a84364bb703312d8a5bcc8d8caf47ca2daa,13395900,0,13395900,0,31895,345,0,1,0,500
edb3b,beedb3b52480c4a7f8a63338dc437cc1f00a87ab8e6bf9b1bf7038d290ddda33,0,0,0,0,0,265,0,0,0,500
b0a41,a1b0a41448480109cad6eb1bff442f2c935aa5c4ee99f17bc8d5f4ee4811781d,0,0,0,0,0,265,0,0,0,500
5c736,3b5c73625b0d51f244b280c73f62ced435753a3ec65e7a78b755a23259a4ae53,0,0,0,0,0,265,0,0,0,500
8d431,078d43166cab885795bdb834d20b7e0d8fd364a4747a6734328401a108856dd1,1280000,0,0,0,0,0,280000,0,280000,500
783a3,53783a39173263c1e7ee91543f600f1dfd52c18cc08b1919d19be9dbb106ac5b,0,0,0,0,0,268,0,0,0,500
e86e3,bbe86e31456303ca84789a0d8cc0160d3f1eaae6a4dd5bf44b372048a8d36ff4,0,0,0,0,0,265,0,0,0,500
ee4a7,14ee4a7bd17c7a62b2fe65eab6e24fc717f00445e963a7b712b5598987dec74a,271000,0,0,0,0,0,271000,0,271000,500
52b80,4252b80ecdab6ce77cbf40343927b7aaf699d56b4aa842f97eadff2fd3d97a25,13395900,0,13395900,0,31895,346,0,1,0,500
20ef7,7820ef7112d1988e66a302fc78d3b6b0ea812202d2ed056e9ec0f779b751e516,0,0,0,0,0,268,0,0,0,500
452e6,e4452e6c38e0c78df43f4ed7c70bff12dcc97d1f229ceed1dcb788e0f35bd4d0,0,0,0,0,0,269,0,0,0,500
7ef3d,837ef3d03fac689add399e4702921a9eb44d7087b93a61a77287e484d01501d8,13395900,0,13395900,0,31895,345,0,1,0,500
adfd7,8eadfd750ea885df550e195e143170bf080d03645811405b58f2cf6326a3beed,0,31895,0,0,31895,345,0,1,0,500
bbed0,9dbbed0a269acc9f3a5bae31b910ec1b831bb859830c1f3cdaadeca784b5b420,0,0,0,0,0,265,0,0,0,500
4a985,7c4a9855dce894cd933e8d69b496bd48e7883f63fe24dacc2ff39c060256ab8d,0,0,0,0,0,265,0,0,0,500
524e4,7d524e45a676428ace48b25c4454e079c4f8a260499b28500fb3d87bab05b7c4,0,0,0,0,0,280,0,0,0,500
34d72,7334d722c0554b70ce5302e09e09df6b0acc45987e7922846c406aacad44310a,0,0,0,0,0,265,0,0,0,500
c9204,4fc920455d16bca508268d518b14db6e56855b14a8ca1cc8d6709f9e98e2271b,0,0,0,0,0,265,0,0,0,500
3dfda,1b3dfdacea57c4a50abf907b4a86166af7f6fc96dff5e58b6fbdc74d4b8067f1,0,31895,0,0,31895,345,0,1,0,500
673ff,a3673ff54c4b4d58de58987a85312d6c3c663bbc9e969d516c4b2eb08e6c16e9,0,0,0,0,0,280,0,0,0,500
e2127,d3e212797563d8b6b14db8e3a9675fa24692c76c00bbe56501d3a7528d9db31a,0,64895,0,0,64895,345,0,1,0,500
1f42c,6a1f42c720092e362bcf31dd773823772a5d8ee48b383cb74f617e5c12914bd2,0,0,0,0,0,268,0,0,0,500
7760f,747760f12350314a773c08f12135d7a775e3775b8d24223723603109d4be81a6,0,0,0,0,0,283,0,0,0,500
f5c5a,31f5c5a2daa3a4a62e9756b393e87561198660311a8bbad3320b5c8f72a1ff8b,13395900,0,13395900,0,31895,345,0,1,0,500
5e663,8d5e66378d1d9f2f19925a0f25d936c7cb4d36dd27847b6dc6173a5004533e37,0,0,0,0,0,265,0,0,0,500
cfe01,f9cfe013a6da996e8133234b4f9272aa56e2060087658b72678e2dc09eea48dc,0,0,0,0,0,265,0,0,0,500
ec1ad,bfec1ad7398bdb013160b21a57e68478377654dfdc318b27be34f492c9a243bd,27600900,0,27255900,0,64895,0,345000,1,345000,500
75686,ba7568638ac6e0755c62a88919265f955a88e883fb45a5993e17131bd142ec5c,13395900,0,13395900,0,31895,345,0,1,0,500
4f241,6c4f241ffa197a321fab69487c468e5b4029d6687d9c2e99676f93835bff80aa,27255900,0,27255900,0,64895,345,0,1,0,500
62a50,8262a505ebfd0596d52dac05cc44b4d637ff62abfdc0d270e1487bced9a61c71,0,31895,0,0,31895,345,0,1,0,500
ffc8c,47ffc8c1fae82c3c4f77a2ab7a3b7f43ebd8440180b25690310ce99e269ff56c,0,0,0,0,0,268,0,0,0,500
c4289,54c42891aef23e920c02a35ea57e7cd95fcce7c66c8d234ec435a713afbc0c2d,345000,64895,0,0,64895,0,345000,1,345000,500
87b68,ff87b68a3e53d4ca9ff3bfdac2bde17eca7a101a67c71a47c3ea2b498e0edb48,0,0,0,0,0,280,0,0,0,500
9874f,cd9874fc9d090b54052992fcc65201d30d352b9f84c19d911b8810dba4a5485b,0,0,0,0,0,265,0,0,0,500
9b79e,7b9b79e5ebfa778eba5239ba067c34177d7285568ef329623e6d2ca13a327482,0,0,0,0,0,265,0,0,0,500
782f7,b5782f70556984f358f610632355effb699c6a2f2a019ceab221a9bdf31172d2,268000,0,0,0,0,0,268000,0,268000,500
1b133,1f1b133ea0879564f67ae68b425899cac022472552b106462b2f58308e7c41f9,0,44228,0,0,44228,378,0,1,0,500
32e35,a532e359af1e5a809c117c84d1dfe0af8b4c78cc46f0ab6a1cd6b0351597799b,0,0,0,0,0,283,0,0,0,500
